Ministério,Categoria 01,title/pt-BR,body/pt-BR
Transportes,Trem Metropolitano,Extensão da Trensurb ( Linha 2) de Porto Alegre a Gravataí.,"Ampliação da Trensurb, trem metropolitano da capital do Rio Grande do Sul, por meio da implantação da Linha 2, ligando Porto Alegre a Gravataí, passando por Cachoeirinha."
Transportes,Transporte Público,Programa Transporte Público Baixa-Renda,"Programa para oferecer gratuidade ou descontos na tarifa dos transportes públicos para população de baixa-renda, garantindo a mobilidade urbana para todas as classes."
Cultura,Centro Cultural ,Centro Cultural da Imigração Alemã,"Em 2026 a imigração alemã completará 150 anos no município de São Carlos/SP. Entre as contribuições está a fábrica Faber Castel. Porém, a unidade localizada no centro da cidade está abandonada desde 2012. A proposta é que o local se transforme em um centro de valorização da cultura alemã, com escola de lingua, como o Instituto Goethe, um centro de difusão científica como o experiminta, e uma escola técnica de ensino médio, além de um parque público."
Planejamento e Orçamento,Imunidade Tributária,LImitar a imunidade tributária conferida a templos de qualquer culto,"Limitar a imunidade tributária conferida a templos de qualquer culto e ao patrimônio, renda ou serviços dos mesmos (incluindo suas fundações) a no maximo 65% do valor total do fato gerador da tributação."
Saúde,Sistema Único de Saúde (SUS),Transição Hormonal Digna,"Nosso Governo Federal e nosso Estado devem voltar seus olhos para os grupos menos favorecidos da nossa sociedade. Como homem trans, por mim e pelos meus, eu proponho que nosso estado forneça hormônio gratuito através do SUS as pessoas Trans que fazem acompanhamento em ambulatórios de hormônio transição."
Desenvolvimento Agrário e Agricultura Familiar,Reforma Agrária,"Desapropriação de terras que não cumprem a sua função social a fim de reforma agrária, habitação e desenvolvimento estatal.","Hectares e mais hectares são deixados de lado pelos donos de propriedades privadas. Isso não permite com que aquela terra sem função abasteça as casas brasileiras com o que produz.
O poder público deve ficar atendo às propriedades de terra que não cumprem com a sua função social, para desapropriar a fim de fazer habitações e reforma agrária.
O desenvolvimento também deve ter foco nessas terras. Indústrias sustentáveis e do setor alimentício podem se integrar com a habitação do governo no local."
Meio Ambiente e Mudança do Clima,Proteção do Patrimônio Ambiental,Reflorestar Mata de Araucaria.,Projeto para ampliação do reflorestamento da Mata de Araucaria. Recuperar e reflorestar os parques com ampliação de viveiros e criadouros de espécies do bioma. Fauna e Fora. Recuperar as áreas degradadas próximo aos municípios que estão dentro deste bioma. Revogar leis municipais e estaduais que permitiram o desmatamento com retirada de árvores centenárias do Pinheiro do Paraná. Fazer cumprir a lei do desmatamento ilegal punindo com rigor os grileiros madeireiros e garimpeiros que agem na área.
Educação,Políticas sociais,Fies: 99% Desconto,"Dar desconto de 99% no fies de pessoas de 2013 até os dias de hoje, ´para que possamos limpar o nome e seguir sem essa dívida.
Existe milhões de pessoas que perderam os estudos por exigências da faculdade em relação ao fies e acabamos não concluindo a graduação e ficamos com a dívida enorme no banco sem condições de pagar, pois não conseguimos nos formar, então o mais viável seria o desconto de 99% da dívida ou até mesmo de 100%, pois não temos como pagar um montante absurdo que o banco cobra."
Educação,Pesquisa científica,Reajuste anual das bolsas de pesquisa CNPq e CAPES,"Estabelecer o reajuste anual das bolsas de pesquisa CNPq e CAPES, nas diversas modalidades, a partir de 1° de janeiro de cada ano, com base no Índice Nacional de Preços ao Consumidor (INPC) acumulado no ano anterior."
Educação,Ensino,Educação com a Constituição ,"Visa a educação básica com os nossos Direitos Fundamentais, regidos na nossa Carta Magna, e pouco conhecidos pela sociedade. A partir do conhecimento dos nossos Direitos e Deveres, estaremos mais preparados para bem exercê-los. 
O conhecimento constitucional é amplo e irrestrito, oferecendo as ferramentas que movem e fiscalizam as leis, como nossos Direitos Fundamentais, como o Direito à Vida, Saúde, Segurança, trabalhista, à propriedade, entre outros.
""O conhecimento da CF nos liberta"""
Infraestrutura,Reformas Revitalizantes,Estrada Parque Quarta Colonia,"Pavimentação da estrada com ciclovia,  via Arroio Lobato (Arroio Grande distrito de Santa Maria RS) e Linha Mantuano, passando pela Cascata do Moinho (Silveira Martins RS), extensão de 17,5 km. 
Estrada de extrema importância para o turismo e escoamento da produção da agricultura familiar."
Educação,Ensino,Ensino obrigatório de Política e Cidadania nas escolas,"Incluir na grade escolar do Ensino Médio o ensino obrigatório de Política (definição de conceitos e descrição dos cargos e funções), Práticas Cidadãs (direitos e deveres dos cidadãos brasileiros) e detalhamento do funcionamento dos Três Poderes no Brasil."
Agricultura e Pecuária,Ampliação de Infraestrutura,Assistência técnica e extensão rural pública e de qualidade. .,"Estabelecer a ATER PÚBLICA como prioridade no orçamento público  federal, garantindo maiores investimentos nas nossas empresas públicas, para que possamos proporcionar a agricultura familiar e a agropecuária assistência de qualidade ao homem e a mulher do campo, possibilitando massivos investimentos na transferência tecnológica ao setor agropecuário brasileiro, fomentando o nosso desenvolvimento nacional."
Cultura,"Lazer, Cultura e Esporte",Projeto jovem esperança ,"Projeto jovem esperança, trabalhar com esporte e lazer aqui na comunidade Porto do centro em Teresina Piauí visando  através do esporte forma cidadão e realiza um sonho fazer um campo society ,junto com arquibancada com cademia popular e uma sede"
Educação,Políticas Sociais ,"Fies, um recomeço ","Garantir o perdão das dívidas dos alunos que se inscreveram no fies de 2012 a 2018, ou pelo menos desconto de 90% sobre os contratos, como foi feito para inadimplentes no governo passado, garantindo direitos iguais nos descontos a todos, não apenas aos inadimplentes. Grato."
Educação,Educação,Educação básica com equipes pedagógicas completas e profissionalização de todos os trabalhadores,"Ampliar as equipes pedagógicas das escolas, atualmente compostas basicamente por professores, para equipes compostas também por pedagogos, assistentes sociais e psicólogos, além de promover a profissionalização de todos e todas que atuam como funcionários de escola (inspetores, merendeiras, secretários, técnicos administrativos, porteiros, seguranças, etc). Todos que atuam na escola devem ser profissionais da educação."
Educação,Educação,Educação antiraracista e Desenvolvimento da Cultura e do Reconhecimento,"População com acesso à educação antirracista, ao conhecimento e aos bens culturais.  Tendo a cultura como um pilares da educação básica e reconhecendo-a como um dos instrumentos fundamentais no processo de apredizagem."
Cidades,Ampliação infraestrutura, Construção de Ciclovias,Tornar obrigatória a construção de ciclovias em todos os municípios brasileiros
Educação,Educação,Atualização da  Política de Educação Especial na perspectiva da Educação Inclusiva,"É necessário rever a política de Educação Especial na Perspectiva da Educação Inclusiva que está em vigor desde 2008. No que se refere ao Atendimento Educacional Especializado, é preciso rever as diretrizes operacionais do AEE, principalmente no que se refere à carga horária do professor do AEE e o quantitativo de alunos atendidos, assunto esse que está ausente nas últimas diretrizes e deixa com que estados e municípios façam do seu modo, que muitas vezes de um modo errado."
Povos Indígenas,Políticas públicas/sociais,PNGATI - Gestão territorial e ambiental,"Estabelecer programas, projetos e ações voltadas à implementação da Política Nacional de Gestão Territorial e Ambiental de Terras Indígenas, promovendo o etnodesenvolvimento, a partir da sustentabilidade dos territórios indígenas, da justiça ambiental e climática, da preservação da biodiversidade e das diferentes formas de bem viver dos povos indígenas, com respeito à diversidade social e cultural e ao usufruto exclusivo e às formas próprias de gestão das riquezas naturais das terras indígenas"
Direitos Humanos e Cidadania,Políticas públicas/sociais,Cooperativismo Solidário,"Desenvolvimento de iniciativas de organização econômico produtiva baseadas na mútua ajuda, construindo instrumentos cooperativos que conduzam à autonomia da classe trabalhadora frente ao domínio do capital e à partilha dos resultados de forma coletiva entre os trabalhadores e trabalhadoras que delas participam e beneficiando também a comunidade."
Saúde,SUS,Doenças autoimunes.,"Todos os possíveis direitos aos portadores de Doenças autoimunes, para viver com mais facilidade em meio a sociedade. Fibromialgia, Artrite Reumatóide, Lúpus, Espondilite Anquilosante e por aí vai...."
Saúde,SUS,Meio ambiente e saúde pública ,Supressão imediata da aplicação de flúor no sistema de abastecimento público. Lei q obriga todo cidadão brasileiro a consumir este veneno foi fraudada em 1974. Nenhum método analítico detecta este elemento presente na natureza. Só é detectado o flúor químico q é aplicado nas estações e o da natureza não é detectado. Está ação de aplicação de flúor está elevando as estatísticas de câncer devido a composição de silício na fórmula usada no tratamento de água.
Fazenda,Reforma Tributária,"Mais tributos aos mais ricos, e menos aos mais pobres","O pobre, hoje em dia no Brasil, paga quase 50% da renda tributária brasileira, enquanto os mais ricos aproximadamente 20%

O ideal seria de aumentar os impostos sobre grandes terras, grandes acúmulos de capitais, produtos de luxo e lucros exorbitantes.

E diminuir os impostos sobre consumo e produtos."
Previdência Social,"Reforma previdência 
",Pelo direito de aposentadoria,"REVOGAÇÃO da Reforma previdenciária, visto que , pelos termos posto na  reforma trabalhadores não alcançarão o direito de  usufruir uma aposentadoria. Maioria do povo mal consegue uma renda para se alimentar, como também não ter vínculos trabalhistas durante tempo exigido ,  veja lá,  conseguir pagar Planos para aposentadoria. Com essa reforma só  entidades LUCRARÃO, visto que não terá despesas pagando aposentadoria, pois o trabalhador MORRERÁ antes  do gozo do direito."
Justiça e Segurança Pública,Segurança pública,Rondas Rurais e Vigilãncia Solidária,"Ampliar as rondas rurais noturnas, e investir nos programas de vigilância solidária das áreas rurais, disponibilizando mais policiais para os grupos. As rondas ajudam muito e a união do poder público com a comunidade através da vigilância solidária aproximam as bases e afastam os malfeitores."
Previdência Social,Aposentadoria,Declaração digital de incapacidade para o trabalho,"Os sistemas de informação aliados ao acesso maciço à internet oferecem atualmente a possibilidade do próprio segurado declarar sua incapacidade para o trabalho a fim de otimizar a gestão, permitindo o requerimento e a concessão de benefícios em tempo real, cruzamento de informações e a possibilidade de auditoria eficiente e célere pela Perícia Médica Federal. De forma análoga à declaração de imposto de renda da Receita Federal, tal declaração trará segurança e otimização de recursos públicos."
Previdência Social,INSS,Reestruturação do Órgão INSS. Remanejamento do Órgão do Poder Executivo para o Poder Judiciário,"Os servidores analistas e técnicos do INSS devem pertencer ao Poder JUDICIÁRIO já que eles decidem e despacham  processos. Garantem direitos. É uma aberraçaõ pertencerem ao  Poder Executivo. Totalmente desviados de atividade e finalidade que é análise e conclusão de PROCESSOS. Tais processos quando não são decididos pelo servidores, são decididos depois por juízes. Tamanho o grau e a importância desses servidores. Têm que estudar Decretos, leis, ACP´s entre outros."
Justiça e Segurança Pública,Ampliação da segurança,Criar a Autarquia Conselho Federal da Guarda Municipal,"A Autarquia Conselho Federal da Guarda Municipal ficará responsável pela fiscalização profissional dos Guardas Municipais e agentes de trânsito que tem como finalidades: orientar os profissionais sobre o exercício do seu ofício; zelar pela ética da profissão em todas as suas áreas de atuação; regular e fiscalizar os limites de atuação profissional; registrar, cadastrar e manter dados sobre os profissionais; e normatizar as diretrizes de cada profissão.E orientar o MJSPU nas políticas públicas."
Cidades,"Políticas públicas/sociais 
",Planejamento de regional uma cidade ,"Criar planos de uma cidade mais organizada com participação da população,ouvir proposta da população, tendo como base políticas públicas para um bom funcionamento da cidade."
Educação,Educação,Reestruturação da carreira e recomposição salarial dos técnicos administrativos em educação,Reestruturação da carreira e recomposição salarial dos técnicos administrativos em educação
"Desenvolvimento e Assistência Social, Família e Combate à Fome",Trabalho,Erradicar a fome e pobreza no Brasil,"Todos os brasileiros desempregados devem receber um salário mínimo per capta (por pessoa na família), desde que estejam com obrigações sociais em dia. Contudo, sem deixar de incentivar a busca pelo emprego e outras formas de renda sem preconceito de idade.

Também, os serviços públicos devem ser continuamente fiscalizados de forma imparcial, imediata e notória aos olhos da população, para que ela não tenha que gastar dinheiro com nenhum serviço básico."
Educação,"Alteração/inserção/ampliação currículo escolar 
",Educação sobre o comunicação digital ,"Promover o conhecimento das tecnologias da comunicação e informação, suas possibilidades e desafios em relação à democracia, à saúde mental e à segurança pública. Considerando o contexto de disseminação de fake news e outros crimes no mundo virtual, faz-se necessário o desenvolvimento de programas, planos e projetos sobre esse tema, de forma articulada à pasta da educação, saúde, segurança pública, direitos humanos."
Cidades,Moradia,Programa Brasil 2050,"Plano de reconstrução do Brasil.
Começando pelas cidades menos populosas, realizar estudo e planejamento para reconstruir as cidades, com moradias dignas para a população e toda a infraestrutura necessária. Bem como, aumentar o número de habitantes dessas cidades, e destinar as moradias excedentes para famílias de baixa renda, moradores de rua e moradores de áreas de risco, dessas e de outras cidades."
 Integração e Desenvolvimento Regional,Amplicação infraestrutura,Modal Ferroviário,"O modal ferroviário desempenha um papel crucial na integração regional e na mobilidade urbana. Sua importância reside na capacidade de transportar grandes volumes de cargas e passageiros de maneira eficiente e sustentável. No entanto, muitas regiões ainda enfrentam desafios significativos em termos de infraestrutura e conectividade ferroviária, resultando em problemas como o tempo excessivo de deslocamento.

A integração regional é essencial para impulsionar o desenvolvimento econômico e social."
Desenvolvimento Agrário e Agricultura Familiar,Povos originários,"Acesso a tecnologia agrícola para os ribeirinhos, quilombolas e indígenas.","A tecnologia agrícola, especialmente aquelas que são efetivadas pela EMBRAPA tem promovido o desenvolvimento e a consequente competitividade do setor agrícola, mas paga um preço alto, quando deixa de lado, ou não dá muita importância, aos produtores familiares que vivem, especialmente e na Amazônia Legal."
Saúde,SUS,Fortalecer a Vigilância em Saúde como modelo de atenção do SUS,"O Brasil precisa adotar o modelo de atenção centrado na vigilância em sáude onde a determinação da doença é multifator e depende de respostas focadas nas condições de vida, incluindo trabalho, renda, escolaridade e acesso aos serviços e ações de saúde, colocando a atenção primária como porta de entrada do cuidado e reguladora da rede de atenção à saúde. ."
Educação,Ensino,"Revogação definitiva da reforma do ensino médio e construção de uma política de ensino médio em diálogo com os jovens, educadores e pais","Revogação da Lei 13.414/2017 e construção de uma política de ensino médio que resgate o caráter formativo dessa etapa de ensino de forma integrada com a educação básica e formação para o trabalho, não compreendida como profissionalização precoce e aligeirada. Investimentos para efetivamente implementar o ensino médio em tempo integral, garantindo as condições de acesso, permanência (inclusive com apoio financeiro aos estudantes) e condições adequadas de aprendizagem."
Educação,Educação,Educação Diferenciada,"Por um Programa financeiro, técnico e orçamentário da União aos Estados e/ou Municípios assistirem e atenderem as especificidades da educação das populações indígenas, ribeirinhas e do campo;"
Educação,Ensino,Revogar o Novo Ensino Médio,"Revogar o Novo Ensino Médio e retomar a implementação, desenvolvida no governo petista da Dilma, com fundamento nas DCNEM de 2012, com foco na ""Ciência, Trabalho, Tecnologia e Cultura"", tendo o trabalho como princípio educativo e a pesquisa como princípio pedagógico. Necessário se faz lembrar que houve uma grande formação docente para a implementação do EM com foco nessas diretrizes. Manter o atual é um desastre e não deve ser reformado o que não pode ter conserto"
Saúde,SUS,Plano Estadual de Segurança Alimentar e Nutricional de Alagoas (PLANSAN),"O reconhecimento da Insegurança Alimentar e a Fome como uma prioridade de governo é urgente, o contrário disto é fechar os olhos para mais de 1 milhão de alagoanos e alagoanas que vivem na  miséria. É preciso ter um planejamento para a erradicação da fome  em Alagoas, um plano que seja concebido considerando os  multiplas causas da insegurança alimentar e nutricional , concebindo ouvindo a população e comprometido com a tarnsformação social e pela defesa  do direito humano a alimentação adequada"
Mulheres,Abrigos públicos,Violência contra a mulher ,Ampliação das casas das mulheres nos.municipios usando como critérios de seleção os indices de violência
Justiça e Segurança Pública,Segurança pública,Segurança pública ,"E preciso criar projeto de remuneração e segurança no exercício da profissão para o policial civil e militar, Policial bem remunerado não se corrompe, fora que eles devem ter sua área residencial como os militares."
Educação,Ensino Superior,Reestruturação da UFVJM e novos campus no Jequitinhonha. ,"UFVJM é a sigla para Universidade Federal dos Vales do Jequitinhonha e Mucuri mas a distribuição dos campus da UFVJM foi feita para além dessa área geográfica, tendo campus em Janaúba (norte de MG) e Unaí (noroeste de MG na divisa com GO a 600 km da sede).
É preciso novos campus da UFVJM nos vales que a nominam, cidades que sonharam com um campus universitário e viram esse sonho desaparecer.
Capelinha, Minas Novas, Araçuaí, Almenara reúne condições mas ainda não conta com campus da Universidade."
Desenvolvimento Agrário e Agricultura Familiar,Agricultura Familiar,Restaurante popular,Que seja criados restaurantes populares a baixo custo em cada cidade brasileira onde os alimentos sejam oferecido pela agricultura familiar.
Meio Ambiente e Mudança do Clima,"Políticas públicas/sociais 
",Proteção Animal - Política nacional,"Precisamos de uma política nacional de proteção animal que garanta recursos e ferramentas aos Estados e Municípios para garantir a proteção animal, seja silvestres ou domésticos.

- Recursos para fazer a proteção e controle populacional de animais domésticos. 
- Legislação eficiente para prevenir e punir exploração e maus tratos.
- Educação animalista no currículo educacional, afim de termos uma próxima geração comprometi a com a proteção animal."
Desenvolvimento Agrário e Agricultura Familiar,Sustentabilidade,Reforma agrária e Agroflorestas,"Promover a reforma agrária, com a ocupação do homem do campo, fomentando a produção de alimentos saudáveis com tecnologia e utilização de agroflorestas para evitar o uso de agrotóxicos e fertilizantes, bem como promover a preservação do meio ambiente e conservação dos rios e biodiversidade."
Trabalho e Emprego,Trabalho,Manutenção do poder de compra do trabalhador - Reajuste Salarial Anual Automático pela Inflação ,"Todos os anos os trabalhadores precisam brigar para que o seu salário tenha o mesmo poder de compra do ano anterior.
A proposta é simples. Todos os salários serão reajustados automaticamente todos os anos pela inflação.
Todas as negociações serão para direitos reais e não reposições.
Não é justo apenas os trabalhadores pagarem a conta pela inflação. Todos os setores reajustam preços, mas o trabalhador continua com o mesmo salário."
 Gestão e da Inovação em Serviços Públicos,Imóveis,Portal de Geoprocessamento,"Elaborar e disponibilizar aos Municípios uma Plataforma de Geoprocessamento. Poucas cidades possuem recursos para produzir e manter seus próprios portais.

Em uma segunda etapa, proporcionar a integração da base de dados com Cartórios.

A unificação que o Gov.br está fazendo para Pessoas o Geo.br pode fazer para os imóveis (cada unidade do solo precisa ter seu id único)."
Minas e Energia,"Políticas públicas/sociais 
",Política Nacional de Agrominerais,"A relação de dependência Agronegócio e o Mineralnegócio, expressa pela importação da ordem de 40Mt de Fertilizantes, onde a trilogia NPK responde por: K (95%), P (75%) e N (95%).
A despeito da importância do “Plano Nacional de Fertilizantes”, impõe-se que o sistema jurídico crie condições de razoabilidade na expedição de LI/LÓ para o Mineralnegócio de Fertilizantes na Bacia Amazônica: Autazes (KCl), Fosfatos (P) e Nitrogenados (GNP/N) na Foz do Amazonas."
Meio Ambiente e Mudança do Clima,Financiamento,Direito Animalista,"Criação e implementação de Programa Federal para controle populacional ético de cães e gatos em situação de rua e famílias multiespécies vulneráveis, por meio de repasse de recursos aos municipios brasileiros.

Ministério: Meio Ambiente"
Desenvolvimento Agrário e Agricultura Familiar,Financiamento,Viveiro de mudas de sementes nativas,"Nossa realidade pede socorro ao alimento saudável, então parti desta necessidade de apoiar o guardião de sementes, visto que as sementes nas lojas agropecuária estão um absurdo de preço, assim como demais produtos, então está na hora que o Estado apoie o pequeno agricultor seja Indigena ou nao, pois ele é responsável de difundir a ideia de trocas de sementes orgânica, por meio de feira ou outras iniciativas relacionado ao armazenamento agroecológico."
Saúde,SUS,Fomentar a industria farmacêutica nas unidades federativas,"Construir um programa para estimular a produção interna de fármacos, insumos, equipamentos e materiais. Uma indústria que responda às demandas internas e possa também contribuir para a geração de riquezas, emprego e renda, além de estabelecer relação com as universidades, contribuindo para a formação dos profissionais ligados ao cuidado à saúde da população e a criação de uma rede de expertises nesse setor. Com uma politica de incentivos ao setor diminuiremos a dependência e aumentaremos o aceso"
Educação,"Políticas públicas/sociais 
",Dignidade Juvenil  ( programa de inclusão e incentivo aos jovens maranhenses) ,"Criação de programas onde os jovens poderão se capacitar para assim poderem disputar com igualdade as vagas de emprego  disponível em suas cidades. Sendo que os cursos ofertados sejam feitos através de pesquisas que levem em consideração as necessidades locais, esquecer a parte mais esquecida do Maranhão a baixada."
Educação,"Ensino 
",Bolsa estudante ,"Criar um programa social voltada para os estudantes do ensino fundamental e médio da rede publica, neste programa seria premiado com um valor em dinheiro, o aluno que tivesse um bom desempenho nos estudos ao longo do mês, seria levado em conta o aluno que não faltasse, quanto maior a nota mais ele receberia, e no final do ano seria feito um sorteio para os 100 melhores alunos do Brasil com prêmios variados, seria para incentivar os estudos, e melhorar o nível de educação nossos jovens."
Fazenda,Reforma Tributária,Amparo Constitucional das Carreiras de Administração Tributária (Auditores-Fiscais e Técnicos/Analistas Tributários) âmbito Reforma Tributária,"No âmbito da adm tributária, o art. 37, inciso XXII, da CF, determina que suas atividades serão exercidas por servidores de carreiras específicas e, as define c/atividades essenciais ao funcionamento do Estado. As atribuições decorrentes das atividades específicas inerentes às competências das Sec de Fazenda da U, E, DF e dos Mun são consideradas concorrentes entre os servidores.Dessa forma, deve-se assegurar às Carreiras de Técnicos/Analistas-Tributários c/carreiras de Estado da Adm Tributária."
Saúde,SUS,Brasil sorridente ,"Ampliar o programa Brasil sorridente para atendimento especializado a pessoas com transtornos mentais e do neurodesenvolvimento .
capacitação dos profissionais"
Saúde,SUS,Clínica ativa Racializada no SUS,"De acordo com o IBGE (Instituto Brasileiro de Geografia e Estatística), o Brasil é majoritariamente negro,  Apesar disso, essa grande parcela da população é tratada como minoria e sente de forma cotidiana o racismo que afeta diretamente a subjetividade. Portanto, mostra-se essencial que a Psicologia, enquanto ciência e profissão, compreenda os fenômenos psíquicos a partir das questões apresentadas nas singularidades dos sujeitos. 
Um equip. com cap. de profiss. /Educ. Antirracista p/ População"
Educação,Educação,Turismo Pedagógico: Conhecendo os alimentos,"Incluir no calendário escolar ao menos 1 visitação ao ano de alunos de 1o. ao 9o. ano à produtores rurais familiares de sua cidade e na ausência destes produtores no município, priorizar municípios com.essências rurais, a fim de que os alunos tenham ciência da natureza e cultivo dos alimentos saudáveis e também adquiram os saberes do campo, e que estas visitas fortaleçam financeiramente o produtor familiar, tornando a experiência em socio-economica-ambiental favorável a todos."
Infraestrutura,Ampliação infraestrutura,Duplicação BR 381 ,"Trata-se de uma das rodovias federais mais importantes do país. A sua duplicação entre Belo Horizonte a Governador Valadares no leste de MG, é esperada e prometida a mais de 30 anos. Essa rodovia infelizmente é conhecida por rodovia da morte devido aos inúmeros acidentes, inúmeros atropelamentos, e congestionamentos quilométricos, diariamente. 

A conclusão da duplicação do lote 03, e o início da duplicação do lote 08, torna-se URGENTE, pois sofremos enormemente todos os dias nessa rodovia."
Educação,Ensino Superior,Repassar os recursos do PNAEST - Assistência Estudantil para as Universidades públicas Estaduais,"Repassar os recursos do Programa Nacional de Assistência Estudantil para as instituições de educação superior públicas estaduais (PNAEST) - Portaria Normativa nº 25, de 28 de dezembro de 2010, que visa possibilitar maiores condições de acesso, permanência e efetividade dos estudantes da educação superior pública estadual com o fomento à moradia, bolsas de permanência, acesso a informatização, promoção de segurança alimentar, incentivo à iniciativa científica etc."
"Desenvolvimento e Assistência Social, Família e Combate à Fome",Minha Casa Minha Vida,Habitação um direito de todos,Fortalecimento e ampliação do programa minha casa minha vida para pessoas de baixa renda.
Cidades,Políticas públicas,Proposta de criação de Fundo Nacional para Conservação de Jardins e Praças Públicas,"Fundo Nacional para a Conservação dos Jardins e Praças Públicas, com recursos do Ministério do Meio Ambiente e empresas privadas. Os municípios apresentariam projetos para receberem recursos para a manutenção e conservação dos jardins e praças, incluindo poda, limpeza, plantio e outras ações para melhorar a qualidade desses espaços. O objetivo é incentivar políticas públicas para a preservação do meio ambiente e a melhoria da qualidade de vida da população."
"Ciência, Tecnologia e Inovação",Financiamento,Não deixemos a falta de conexão nos desconectar da oportunidade de uma vida melhor - lute pelo acesso público à internet para todos os brasileiros.,"Aumento dos investimentos na infraestrutura de internet com gestão pública, visando o acesso universal de todas as pessoas, especialmente nas áreas rurais, na amazônia e periféricas. Além disso, priorizar investimentos e potencialização dos backbones da Rede Ipê da RNP, com o objetivo de integrar universidades, pesquisadores e a sociedade brasileira, visando a sociedade do do conhecimento."
Cidades,Financiamento,Incentivo a Bicicletas Elétricas e Mobilidade Ativa,"Sugiro a destinação de recursos para a industria nacional de bicicletas eletricas,  por meio de incentivos fiscais, financiamento ou outras formas de apoio. A evolução das bicicletas eletricas as tornaram meios eficazes de promover a mobilidade ativa nas cidades, possibilitando o uso desse meio de transportes em cidades com relevos mais dificeis e permitindo maiores distancias com menos esforços. Porém os custos são elevados, necessitando uma ação do governo. Geraria tb empregos no país."
Educação,Ensino Superior,Fundo de Manutenção e Desenvolvimento do Ensino Superior - FUMDES,"Criar o Fundo de Manutenção e Desenvolvimento do Ensino Superior - FUMDES constituído com a finalidade de fomentar a manutenção e desenvolvimento das atividades de ensino, pesquisa e extensão no âmbito das universidades públicas estaduais e municipais, equivalente a 20% das receitas de apostas de jogos.
Meta: Ampliar 5% de vagas
ODS4 Educação de qualidade
ODS10 Redução das desigualdades
ODS16 Paz, justiça e instituições eficazes. 
Grupo transversais atendidos - Mulheres /Negros/ indígenas/ LGBT."
Educação,Meio Ambiente,Educação Viva nas Comunidades,"A educação viva, vem com a nova metodologia de práticas curriculares com os aprendizados tácitos. atualmente, desempenhamos estas atividades com o Movimento Ambiental Trilha das Flores, em Salvador, Bahia. Prêmio da Unesco / Muriqui 2022. São atividades educadoras com a vivência comum. Traduzindo o pertencimento das pessoas, suas tradições e percepções de suas atividades, assim reorganizar as atividades curriculares, aprendidas em sala de aula, para as práticas in situ.Institutotrilhadasflores"
Adicione,"Cotas raciais/sociais/gênero
","Cota parlamentar obrigatória para mulheres, negros e deficientes, onde em casa eleição obrigatoriamente se elegeria uma porcentagem de cada parcela","Penso que para uma total paridade de parlamentares em todos os âmbitos (vereadores, deputados estaduais, federais, senadores) é preciso que haja um mecanismo que obrigue a ter determinadas porcentagens eleitas para esses cargos. Penso então todas as casas legislativas deveriam ser ocupadas, por exemplo, com 50% de mulheres, 50% de pessoas negras e 10% de pessoas com deficiência (porcentagem médias dessas pessoas na sociedade). Na eleição se elegeria exatamente essa porcentagem pelos votos"
Infraestrutura,Ampliação Infraestrutura, Duplicação da BR 232  ,"A Duplicação da BR 232, entre os municípios de São Caetano a Salgueiro se faz necessária para o desenvolvimento do Estado, sendo essa rodovia a mais importante de Pernambuco onde transitam milhares de veículos todos os dias. A BR supracitada é o eixo principal para o escoamento da produção rual e industrial, ligando o Sertão à Capital. Com essa obra realizada os pequenos, médios e grandes produtores, além dos cidadãos, poderão chegar a capital, saindo do interior com maior mais rápida."
Educação,Ensino Superior,"Criação do Instituto Federal de Educação, Ciência e Tecnologia do Alto Paranaíba e Noroeste de Minas","Criação do Instituto Federal de Educação, Ciência e Tecnologia do Alto Paranaíba e Noroeste de Minas com Campi nas Cidades de Buritis, Arinos Unaí, Brasilândia de Minas, João Pinheiro, Paracatu, Vazante, Patos de MInas, Carmo do Paranaíba, São Gotardo, Ibiá, Patrocínio e Coromandel."
"Desenvolvimento e Assistência Social, Família e Combate à Fome",Minha Casa Minha Vida,Minha Casa Minha Vida aumentando subsídio para área central,"Aumentar o subsídio se o terreno e o empreendimento for CENTRAL (até 10km do centro da cidade) para que a Faixa 1 seja feita em locais com boa infra estrutura urbana (escolas, creches, hospitais, ônibus, teatros, etc)."
Educação,Ensino Superior,Financiamento Estudantil Fies Medicina,"Diante do atual cenário de saúde pública, em que a falta de profissionais na
 área de medicina é ainda realidade no Brasil, e que o Fies para Medicina ainda não é um programa social para todos, em virtude do teto de financiamento, e para alguns a cooparticipacao endivida as famílias brasileiras. É necessário um financiamento total para Medicina, sem coparticipação, Fies para Todos. Fies sem Barreiras, Fies para os Brasileiros."
Legislativo,Legislativo,Atualização dos Direitos da Pessoa com Deficiência,"Atualização da lei dos Direitos da Pessoa com Deficiência, para a ampliação de rol de PcD,além da uniformização do cadastro de exame médico para deficiências que são irreversíveis com validade e autenticidade de forma permanente para ser validado em qualquer concurso público e instituição pública."
Cidades,Passe livre,Melhorias no Passe Livre à Pessoa com Deficiência,"Atualmente há um completo descaso da ANTT e MT e Governo Lula referentes ao Passe Livre Interestadual à Pessoa com Deficiência.

Algumas sugestões de melhoria:
Revisão do Decreto 3.691 que restringe o direito ao ônibus convencional
Passe Livre Digital (Carteirinha Digital) com QR Code por App (gov.br)
Sistema que permita todos os procedimentos via internet
Implementação de Passe Livre Unificado Nacional para utilização em nível Interestadual, Intermunicipal e Urbano"
